year	runner	nationality	5km	10km	15km	20km	21.1km	25km	30km	35km	40km	finish	wr
2018	Eliud Kipchoge	Kenya	14:24	29:01	43:38	57:56	1:01:06	1:12:24	1:26:45	1:41:12	1:55:32	2:01:39	yes
2017	Eliud Kipchoge	Kenya	14:28	29:05	43:44	58:18	1:01:29	1:12:50	1:27:24	1:42:04	1:57:08	2:03:32	no
2016	Kenenisa Bekele	Ethiopia	14:21	29:00	43:37	58:02	1:01:11	1:12:47	1:27:30	1:42:01	1:56:55	2:03:03	no
2015	Eliud Kipchoge	Kenya	14:39	29:19	43:54	58:39	1:01:53	1:13:25	1:28:10	1:42:33	1:57:29	2:04:00	no
2014	Dennis Kimetto	Kenya	14:42	29:24	44:09	58:35	1:01:45	1:13:08	1:27:37	1:41:47	1:56:29	2:02:57	yes
2013	Wilson Kipsang	Kenya	14:33	29:16	43:45	58:20	1:01:34	1:13:13	1:28:01	1:42:36	1:57:12	2:03:23	yes
2012	Geoffrey Mutai	Kenya	14:57	29:41	44:22	59:02	1:02:12	1:13:38	1:28:11	1:42:30	1:57:22	2:04:15	no
2011	Patrick Makau	Kenya	14:37	29:17	43:52	58:30	1:01:44	1:13:18	1:27:38	1:42:16	1:57:15	2:03:38	yes
2010	Patrick Makau	Kenya	14:48	29:22	44:11	59:18	1:02:37	1:14:21	1:29:02	1:43:49	1:58:45	2:05:08	no
2009	Haile Gebrselassie	Ethiopia	14:30	29:16	43:58	58:34	1:01:45	1:13:09	1:27:49	1:42:37	1:58:34	2:06:08	no
2008	Haile Gebrselassie	Ethiopia	14:35	29:13	44:03	58:50	1:02:05	1:13:41	1:28:27	1:43:05	1:57:34	2:03:59	yes
2007	Haile Gebrselassie	Ethiopia	14:44	29:27	44:16	59:10	1:02:29	1:14:05	1:28:56	1:43:38	1:58:08	2:04:26	yes
2006	Haile Gebrselassie	Ethiopia	14:44	29:55	44:51	59:30	1:02:46	1:14:19	1:29:06	1:43:37	1:58:57	2:05:56	no
2005	Philip Manyim	Kenya	15:16	30:23	45:24	1:00:22	1:03:38	1:15:19	1:29:54	1:44:38	2:00:29	2:07:41	no
2004	Felix Limo	Kenya	14:46	NA	45:09	1:00:04	1:03:20	1:14:51	1:29:36	1:44:37	2:00:01	2:06:44	no
2003	Paul Tergat	Kenya	14:59	29:55	44:43	59:43	1:03:01	1:14:40	1:29:23	1:43:58	1:58:35	2:04:55	yes
2002	Raymond Kipkoech	Kenya	15:14	30:13	45:16	1:00:23	1:03:39	1:15:08	1:30:05	1:45:17	2:00:17	2:06:47	no
2001	Joseph Ngolepus	Kenya	15:33	30:50	45:52	1:00:58	1:04:22	1:16:08	1:31:21	1:46:19	2:01:47	2:08:47	no
2000	Simon Biwott	Kenya	14:54	30:05	45:11	1:00:06	1:03:10	1:15:07	1:30:20	1:45:33	2:00:59	2:07:42	no
1999	Josephat Kiprono	Kenya	15:09	30:21	45:25	1:00:34	1:03:54	1:14:54	1:30:10	1:45:05	2:00:08	2:06:44	no
