person	person_twitter	person_type	inspiration	inspiration_twitter	inspiration_type	person_gender	inspiration_gender
Giovanni Magni	@P_Maravich	person - industry	Paolo Ciuccarelli	@pciuccarelli	person - academia	m	m
Giovanni Magni	@P_Maravich	person - industry	DensityDesign	@densitydesign	academic research lab	m	NA
Giovanni Magni	@P_Maravich	person - industry	Johan Van Looveren	NA	person - academia	m	m
Nathan Yau	@flowingdata	person - industry	Mark Hansen	@cocteau	person - academia	m	m
Nathan Yau	@flowingdata	person - industry	Info Aesthetics	@infosthetics	studio	m	NA
Nathan Yau	@flowingdata	person - industry	Stamen Design	@stamen	studio	m	NA
Nathan Yau	@flowingdata	person - industry	Aaron Koblin	@aaronkoblin	person - industry	m	m
Nathan Yau	@flowingdata	person - industry	Fernanda Viégas	@viegasf	person - industry	m	f
Nathan Yau	@flowingdata	person - industry	Martin Wattenberg	@wattenberg	person - industry	m	m
Nathan Yau	@flowingdata	person - industry	Jeffrey Heer	@jeffrey_heer	person - academia	m	m
Nathan Yau	@flowingdata	person - industry	Ben Fry	@ben_fry	person - industry/academia	m	m
Nathan Yau	@flowingdata	person - industry	Edward Tufte	@EdwardTufte	person - industry/academia	m	m
Nathan Yau	@flowingdata	person - industry	NYT Graphics	@nytgraphics	news agency	m	NA
Enrico Bertini	@FILWD	person - academia	Ben Schneiderman	@benbendc	person - academia	m	m
Enrico Bertini	@FILWD	person - academia	Stu Card	NA	person	m	m
Enrico Bertini	@FILWD	person - academia	Jock Mackinlay	NA	person	m	m
Enrico Bertini	@FILWD	person - academia	Ben Fry	@ben_fry	person - industry/academia	m	m
Enrico Bertini	@FILWD	person - academia	Info Aesthetics	@infosthetics	studio	m	NA
Federica Fragapane	@fedfragapane	person - industry	Paolo Ciuccarelli	@pciuccarelli	person - academia	f	m
Federica Fragapane	@fedfragapane	person - industry	Giorgia Lupi	@giorgialupi	person - industry	f	f
Federica Fragapane	@fedfragapane	person - industry	Stefanie Posavec	@stefpos	person - industry	f	f
Federica Fragapane	@fedfragapane	person - industry	Nicholas Felton	@feltron	person - industry/art	f	m
Elijah Meeks	@Elijah_Meeks	person - industry	Ben Fry	@ben_fry	person - industry/academia	m	m
Mike Bostock	@mbostock	person - industry	Jeffrey Heer	@jeffrey_heer	person - academia	m	m
Mike Bostock	@mbostock	person - industry	Edward Tufte	@EdwardTufte	person - industry/academia	m	m
Nicholas Rougeux	@rougeux	person - industry/art	Edward Tufte	@EdwardTufte	person - industry/academia	m	m
Nicholas Rougeux	@rougeux	person - industry/art	Giorgia Lupi	@giorgialupi	person - industry	m	f
Nicholas Rougeux	@rougeux	person - industry/art	Stefanie Posavec	@stefpos	person - industry	m	f
Nicholas Rougeux	@rougeux	person - industry/art	Andy Kirk	@visualisingdata	person - industry	m	m
Nicholas Rougeux	@rougeux	person - industry/art	Nathan Yau	@flowingdata	person - industry	m	m
Nicholas Rougeux	@rougeux	person - industry/art	Nadieh Bremer	@NadiehBremer	person - industry	m	f
Nicholas Rougeux	@rougeux	person - industry/art	Shirley Wu	@sxywu	person - industry	m	f
Nicholas Rougeux	@rougeux	person - industry/art	Moritz Stefaner	@moritz_stefaner	person - industry	m	m
Emilie L. Dubois	@IMPAKTsci	person - academia	Hans Rosling	@HansRosling	person - industry/academia	f	m
Emilie L. Dubois	@IMPAKTsci	person - academia	Alberto Cairo	@AlbertoCairo	person - academia	f	m
Emilie L. Dubois	@IMPAKTsci	person - academia	Federica Fragapane	@fedfragapane	person - industry	f	f
Kim Rees	@krees	person - industry	Ben Fry	@ben_fry	person - industry/academia	f	m
Kim Rees	@krees	person - industry	Stamen Design	@stamen	studio	f	NA
Kim Rees	@krees	person - industry	Nigel Holmes	@nigelblue	person	f	m
Kim Rees	@krees	person - industry	Andrew Vande Moere	@vdmoere	person - academia	f	m
Kim Rees	@krees	person - industry	Nathan Yau	@flowingdata	person - industry	f	m
Kim Rees	@krees	person - industry	Lyon Playfair	NA	person	f	m
Kim Rees	@krees	person - industry	Florence Nightingale	NA	person - medicine	f	f
Kim Rees	@krees	person - industry	Jock Mackinlay	NA	person	f	m
Jan Willem Tulp	@JanWillemTulp	person - industry	Moritz Stefaner	@moritz_stefaner	person - industry	m	m
Jan Willem Tulp	@JanWillemTulp	person - industry	Jer Thorp	@blprnt	person - academia/art	m	m
Jan Willem Tulp	@JanWillemTulp	person - industry	Stamen Design	@stamen	studio	m	NA
Jerome Cukier	@jcukier	person - industry	Fernanda Viégas	@viegasf	person - industry	m	f
Jerome Cukier	@jcukier	person - industry	Martin Wattenberg	@wattenberg	person - industry	m	m
Jerome Cukier	@jcukier	person - industry	Robert Kosara	@eagereyes	person - industry	m	m
Jerome Cukier	@jcukier	person - industry	Ben Schneiderman	@benbendc	person - academia	m	m
Jerome Cukier	@jcukier	person - industry	Stefanie Posavec	@stefpos	person - industry	m	f
Jerome Cukier	@jcukier	person - industry	Ben Fry	@ben_fry	person - industry/academia	m	m
Jerome Cukier	@jcukier	person - industry	Stephen Few	NA	person - industry	m	m
Stefanie Posavec	@stefpos	person - industry	Fernanda Viégas	@viegasf	person - industry	f	f
Stefanie Posavec	@stefpos	person - industry	Martin Wattenberg	@wattenberg	person - industry	f	m
Lisa Charlotte Rost	@lisacrost	person - industry	Onlab	@onlab_berlin	studio	f	NA
Lisa Charlotte Rost	@lisacrost	person - industry	Sven Ehmann	@sven_ehmann	person	f	m
Lisa Charlotte Rost	@lisacrost	person - industry	Francesco Franchi	@ffranchi	person - journalism/academia	f	m
Lisa Charlotte Rost	@lisacrost	person - industry	Joost Grootens	NA	person	f	m
Lisa Charlotte Rost	@lisacrost	person - industry	Bloomberg business week graphics desk	@bizweekgraphics	news agency	f	NA
Lisa Charlotte Rost	@lisacrost	person - industry	Edward Tufte	@EdwardTufte	person - industry/academia	f	m
Moritz Stefaner	@moritz_stefaner	person - industry	Ben Fry	@ben_fry	person - industry/academia	m	m
Moritz Stefaner	@moritz_stefaner	person - industry	Martin Wattenberg	@wattenberg	person - industry	m	m
Moritz Stefaner	@moritz_stefaner	person - industry	Jonathan Harris	@jjhnumber27	person - industry/art	m	m
Jill Hubley	@Jill_hubley	person - industry	Mike Bostock	@mbostock	person - industry	f	m
GraphicHunters	@GraphicHunters	studio	Simon Rogers	@smfrogers	person - industry	NA	m
GraphicHunters	@GraphicHunters	studio	Manuel Lima	@mslima	person - industry	NA	m
GraphicHunters	@GraphicHunters	studio	Andy Kirk	@visualisingdata	person - industry	NA	m
John Burn-Murdoch	@jburnmurdoch	person - journalism	Hans Rosling	@HansRosling	person - industry/academia	m	m
John Burn-Murdoch	@jburnmurdoch	person - journalism	Andy Cotgreave	@acotgreave	person - industry	m	m
John Burn-Murdoch	@jburnmurdoch	person - journalism	Gregor Aisch	@driven_by_data	person - industry	m	m
John Burn-Murdoch	@jburnmurdoch	person - journalism	Mona Chalabi	@MonaChalabi	person - industry	m	f
John Burn-Murdoch	@jburnmurdoch	person - journalism	Helen Kennedy	@hmtk	person - academia	m	f
John Burn-Murdoch	@jburnmurdoch	person - journalism	Andy Kirk	@visualisingdata	person - industry	m	m
John Burn-Murdoch	@jburnmurdoch	person - journalism	Lisa Charlotte Rost	@lisacrost	person - industry	m	f
Timo Franz	@tmfrnz	person - nonprofit	Andy Kirk	@visualisingdata	person - industry	m	m
Timo Franz	@tmfrnz	person - nonprofit	Nathan Yau	@flowingdata	person - industry	m	m
Timo Franz	@tmfrnz	person - nonprofit	Alberto Cairo	@AlbertoCairo	person - academia	m	m
Timo Franz	@tmfrnz	person - nonprofit	Edward Tufte	@EdwardTufte	person - industry/academia	m	m
Timo Franz	@tmfrnz	person - nonprofit	Francesco Franchi	@ffranchi	person - journalism/academia	m	m
Timo Franz	@tmfrnz	person - nonprofit	Otto Neurath	NA	person - academia	m	m
Timo Franz	@tmfrnz	person - nonprofit	Sandra Rendgen	@srendgen	person - industry	m	f
Valentina D'Efilippo	@defilippovale	person - industry	Jonathan Harris	@jjhnumber27	person - industry/art	f	m
Valentina D'Efilippo	@defilippovale	person - industry	Fernanda Viégas	@viegasf	person - industry	f	f
Valentina D'Efilippo	@defilippovale	person - industry	Martin Wattenberg	@wattenberg	person - industry	f	m
Valentina D'Efilippo	@defilippovale	person - industry	Aaron Koblin	@aaronkoblin	person - industry/art	f	m
Valentina D'Efilippo	@defilippovale	person - industry	Manuel Lima	@mslima	person - industry	f	m
Frans Geurts	@Frans_geurts	person - industry	Andy Kirk	@visualisingdata	person - industry	m	m
Frans Geurts	@Frans_geurts	person - industry	David McCandless	@infobeautiful	person - industry/art	m	m
Frans Geurts	@Frans_geurts	person - industry	Nadieh Bremer	@NadiehBremer	person - industry	m	f
Frans Geurts	@Frans_geurts	person - industry	Alberto Cairo	@AlbertoCairo	person - academia	m	m
Manuel Lima	@mslima	person - industry	John Maeda	@johnmaeda	person - industry	m	m
Manuel Lima	@mslima	person - industry	Ben Schneiderman	@benbendc	person - academia	m	m
Manuel Lima	@mslima	person - industry	Albert-László Barabási	@barabasi	person - academia	m	m
Manuel Lima	@mslima	person - industry	Ben Fry	@ben_fry	person - industry/academia	m	m
Manuel Lima	@mslima	person - industry	Martin Wattenberg	@wattenberg	person - industry	m	m
Manuel Lima	@mslima	person - industry	Fernanda Viégas	@viegasf	person - industry	m	f
Manuel Lima	@mslima	person - industry	Jonathan Harris	@jjhnumber27	person - industry/art	m	m
Manuel Lima	@mslima	person - industry	Lisa Strausfeld	@Strausfeld	person - industry/art	m	f
Manuel Lima	@mslima	person - industry	Jonathan Corum	@13pt	person - journalism	m	m
Manuel Lima	@mslima	person - industry	Marcos Weskamp	@marumushi	person - industry	m	m
Manuel Lima	@mslima	person - industry	Golan Levin	@golan	person - academia/art	m	m
