inspiration	inspiration_twitter	followersCount	inspirationCount
Paolo Ciuccarelli	@pciuccarelli	5311	4
DensityDesign	@densitydesign	9534	7
Mark Hansen	@cocteau	4955	2
Info Aesthetics	@infosthetics	17776	3
Stamen Design	@stamen	21847	8
Aaron Koblin	@aaronkoblin	25980	9
Fernanda Viégas	@viegasf	15675	8
Martin Wattenberg	@wattenberg	15453	8
Jeffrey Heer	@jeffrey_heer	11092	4
Ben Fry	@ben_fry	21968	16
Edward Tufte	@EdwardTufte	100069	21
NYT Graphics	@nytgraphics	148962	6
Ben Schneiderman	@benbendc	8215	7
Giorgia Lupi	@giorgialupi	21119	6
Stefanie Posavec	@stefpos	13059	7
Nicholas Felton	@feltron	35301	11
Andy Kirk	@visualisingdata	44747	12
Nathan Yau	@flowingdata	79244	11
Nadieh Bremer	@NadiehBremer	27225	19
Shirley Wu	@sxywu	23588	7
Moritz Stefaner	@moritz_stefaner	17357	14
Hans Rosling	@HansRosling	350262	18
Alberto Cairo	@AlbertoCairo	48615	17
Federica Fragapane	@fedfragapane	5014	2
Nigel Holmes	@nigelblue	1738	5
Andrew Vande Moere	@vdmoere	486	3
Jer Thorp	@blprnt	26774	10
Robert Kosara	@eagereyes	21857	4
Onlab	@onlab_berlin	231	1
Sven Ehmann	@sven_ehmann	32	1
Francesco Franchi	@ffranchi	10856	3
Bloomberg business week graphics desk	@bizweekgraphics	4553	1
Jonathan Harris	@jjhnumber27	6421	4
Mike Bostock	@mbostock	59827	16
Simon Rogers	@smfrogers	32337	2
Manuel Lima	@mslima	12630	7
Andy Cotgreave	@acotgreave	15541	1
Gregor Aisch	@driven_by_data	18703	1
Mona Chalabi	@MonaChalabi	63070	3
Helen Kennedy	@hmtk	1240	1
Lisa Charlotte Rost	@lisacrost	15969	4
Sandra Rendgen	@srendgen	1998	1
David McCandless	@infobeautiful	101777	5
John Maeda	@johnmaeda	425078	3
Albert-László Barabási	@barabasi	22398	1
Lisa Strausfeld	@Strausfeld	1215	2
Jonathan Corum	@13pt	6143	1
Marcos Weskamp	@marumushi	4310	1
Golan Levin	@golan	27577	1
Santiago Ortiz	@moebio	9249	4
Karsten Schmidt	@toxi	10861	3
Marius Watz	@mariuswatz	13200	3
Eric Fisher	@enf	12079	1
Eytan Adar	@eytanadar	1901	1
John Grimwade	@johngrimwade	1101	4
CLEVER°FRANKE	@cleverfranke	2751	1
Pitch Interactive	@pitchinc	1894	2
Valentina D'Efilippo	@defilippovale	3674	1
The Pudding	@puddingviz	21735	2
FIELD.IO	@field_io	13827	1
onformative	@onformative	6165	1
Tamara Munzer	@tamaramunzner	5422	3
Subramanian Anand	@sanand0	2587	1
Jan Willem Tulp	@JanWillemTulp	12398	2
Seb Lee-Delisle	@seb_ly	15372	1
Robert Hodgin	@flight404	8981	1
Casey Reas	@REAS	21214	3
accurat	@accuratstudio	7538	7
David Feng	@dyfbrain	140	1
Jerome Cukier	@jcukier	8405	2
Ian Johnson	@enjalot	6437	4
Kim Rees	@krees	9742	2
Wesley Grubs	@wesleygrubbs	6694	1
Gray Area	@GrayAreaorg	24829	1
Maptime SF	@MaptimeSF	1722	1
Jack van Wijk	@jackvanwijk	123	1
Nicholas Rougeux	@rougeux	3307	1
Enrico Bertini	@FILWD	12176	3
Visualized	@visualized	16075	1
Jason Davies	@jasondavies	9139	2
Bret Victor	@worrydream	51103	3
Fil	@recifs	1776	1
Franck Lebeau	@_Kcnarf	362	1
Bruce Mau Design	@brucemaudesign	38646	1
Ramana Rao	@treerao	1176	1
TheDesignersRepublic	@disinfoTDR	2235	1
Amy Franceschini	@amyfranceschini	1770	1
Sarah Slobin	@sarahslo	3018	1
Kirk Goldsberry	@kirkgoldsberry	67712	2
Karl Gude	@karlgude	4519	1
Michael Keller	@mhkeller	5818	1
Amanda Cox	@amandacox	9921	3
Irene Ros	@ireneros	5876	1
National Geographic	@NatGeo	23380684	1
Tableau	@tableau	139037	1
Yugo Nakamura	@yugop	39181	1
Joe Lertola	@jlert	43	1
Bill Shander	@billshander	12910	1
Cole Knafic	@storywithdata	18471	4
Lazaro Gamio	@LazaroGamio	4784	1
